"Margin","Quantity sold","Sales revenue","State","City","Year","Quarter","Lines","Category","SKU number","Month","Month Name"
"245.8","9","891","California","Los Angeles","2014","Q3","Accessories","Belts,bags,wallets","138627","9","September"
"3456.9","65","9795","California","Los Angeles","2014","Q3","Accessories","Belts,bags,wallets","146552","7","July"
"4787","97","13915","California","Los Angeles","2014","Q3","Accessories","Belts,bags,wallets","146552","8","August"
"131.4","2","338","California","Los Angeles","2014","Q3","Accessories","Belts,bags,wallets","146552","9","September"
"189.6","3","407","California","Los Angeles","2014","Q3","Accessories","Belts,bags,wallets","151807","7","July"
"273","5","635","California","Los Angeles","2014","Q3","Accessories","Belts,bags,wallets","151807","8","August"
"-11.8","7","343","California","Los Angeles","2014","Q3","Accessories","Belts,bags,wallets","151807","9","September"
"-10.6","1","149","California","Los Angeles","2014","Q3","Accessories","Hair accessories","137638","9","September"
"39","1","180","California","Los Angeles","2014","Q3","Accessories","Hair accessories","148032","7","July"
"81.2","3","497","California","Los Angeles","2014","Q3","Accessories","Hair accessories","148032","8","August"
"-96.7","2","149","California","Los Angeles","2014","Q3","Accessories","Hair accessories","148032","9","September"
"199.9","21","1659","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","115121","7","July"
"229.5","28","2188","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","115121","8","August"
"60.8","7","553","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","115121","9","September"
"3.9","1","99","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","143994","9","September"
"3.6","1","99","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","143995","9","September"
"228.7","3","897","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","144100","7","July"
"2629.9","29","5693","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","144290","7","July"
"17901.9","362","51026","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","144290","8","August"
"492.8","5","999","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","144290","9","September"
"1672.4","25","3742","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","144945","7","July"
"4183.6","63","9185","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","144945","8","August"
"344.8","4","676","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","144945","9","September"
"29.2","2","270","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","146334","8","August"
"146.9","3","507","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","146378","7","July"
"150","3","507","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","146378","8","August"
"-26.7","1","79","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","146378","9","September"
"473.9","12","1188","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","148353","7","July"
"666","17","1683","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","148353","8","August"
"27.1","2","138","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","148353","9","September"
"252.4","4","676","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","149121","7","July"
"336.2","8","1198","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","149121","8","August"
"28.5","1","129","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","149121","9","September"
"301.1","3","597","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","155716","9","September"
"459","7","1363","California","Los Angeles","2014","Q3","Accessories","Hats,gloves,scarves","159769","9","September"
